ticker,sector,industry,marketCap,sharesOutstanding,message
AAL,Industrials,Airlines,10413696000.0,610774016.0,
AAOI,Technology,Semiconductors,178295312.0,22976200.0,
AAPL,Technology,Consumer Electronics,2081190313984.0,17102499840.0,
AAME,Financial Services,Insurance—Life,46340460.0,20414300.0,
AAN,Consumer Cyclical,Specialty Retail,598555008.0,33778500.0,
AAON,Industrials,Building Products & Equipment,3296476416.0,52242100.0,
AA,Basic Materials,Aluminum,4246641152.0,185930000.0,
AAT,Real Estate,REIT—Diversified,1745792768.0,60282900.0,
A,Healthcare,Diagnostics & Research,36254879744.0,306000000.0,
ABCB,Financial Services,Banks—Regional,2614232320.0,69490496.0,
ABM,Industrials,Specialty Business Services,2682155264.0,66687100.0,
ABG,Consumer Cyclical,Auto & Truck Dealerships,2766312192.0,19285500.0,
AB,Financial Services,Asset Management,3087204608.0,96174600.0,
ABT,Healthcare,Medical Devices,189677961216.0,1772359936.0,
ABR,Real Estate,REIT—Mortgage,1720126208.0,123395000.0,
ABC,Healthcare,Medical Distribution,20028753920.0,204250000.0,
ACFN,Technology,Scientific & Technical Instruments,16470354.0,39687600.0,
ABBV,Healthcare,Drug Manufacturers—General,187740061696.0,1765469952.0,
ACET,Healthcare,Biotechnology,246542768.0,19629200.0,
ABMD,Healthcare,Medical Devices,11679330304.0,45189900.0,
ACAD,Healthcare,Biotechnology,8149212160.0,158978000.0,
ACC,Real Estate,REIT—Residential,5918176256.0,137632000.0,
NSIT,Technology,Information Technology Services,2517214208.0,35097800.0,
OSIS,Technology,Electronic Components,1654448256.0,17920800.0,
ACOR,Healthcare,Biotechnology,42653700.0,56871600.0,
FPRX,Healthcare,Biotechnology,747567680.0,46317700.0,
NDSN,Industrials,Specialty Industrial Machinery,11478643712.0,58034500.0,
CELP,Energy,Oil & Gas Equipment & Services,32361006.0,12211700.0,
FUNC,Financial Services,Banks—Regional,111614328.0,6989000.0,
NSTG,Healthcare,Biotechnology,3036099328.0,44065300.0,
